1,0,0,0,3,0,1,0,0
4,0,1,0,3,0,1,0,1
5,2,1,0,5,2,3,1,1
5,2,2,1,5,3,3,3,2
6,3,2,3,7,4,3,3,5
8,4,3,3,9,5,6,4,6
10,4,3,4,10,6,9,4,6
12,5,5,5,10,6,10,7,8
12,6,6,5,12,7,10,9,12
12,9,7,7,12,8,12,11,13
12,10,8,9,13,9,12,11,14
14,10,9,13,16,11,12,11,14
14,10,10,14,17,12,14,11,17
15,11,12,16,18,13,14,13,22
18,13,13,17,22,13,14,14,23
18,15,14,17,23,14,15,15,25
18,16,16,17,26,16,16,16,25
19,18,16,18,26,17,18,18,27
19,19,16,21,26,17,18,18,29
20,19,18,21,28,18,19,19,31
20,20,18,25,28,19,19,19,33
21,20,20,26,29,19,19,20,35
22,20,21,27,30,21,19,20,36
22,22,21,27,30,21,21,22,36
23,22,21,27,30,21,22,22,38
24,24,22,27,32,21,23,22,39
24,26,22,27,34,21,24,22,39
26,27,24,28,34,23,25,23,41
26,27,25,28,36,25,25,24,44
26,27,25,29,37,26,26,25,45
27,28,25,31,37,26,26,28,49
28,29,26,31,37,27,30,29,51
29,30,27,32,39,27,30,30,52
30,30,29,34,40,27,31,30,53
31,30,31,36,40,29,33,30,54
33,30,32,37,43,29,33,34,56
33,31,32,37,43,31,35,35,57
33,36,33,37,44,32,36,36,58
33,37,35,38,46,32,37,39,59
34,37,38,39,47,33,37,40,62
36,38,38,39,48,34,38,40,64
37,38,39,40,48,34,40,40,67
37,39,40,40,49,35,40,41,69
38,40,40,41,50,37,41,42,70
38,42,40,42,50,40,41,43,71
39,42,40,42,50,40,42,45,71
42,43,42,42,51,40,42,45,76
45,43,44,43,52,40,44,47,77
48,45,46,43,52,42,44,47,77
